Chart Week,Position,Artist,Title,Streams
2021-09-23,157,Drake,You Only Live Twice (with Lil Wayne & Rick Ross),1689477
2021-09-23,158,Juice WRLD,Robbery,1675245
2021-09-23,159,Neon Trees,Everybody Talks,1671415
2021-09-23,160,Mac Miller,Colors and Shapes,1660284
2021-09-23,161,Lewis Capaldi,Someone You Loved,1656556
2021-09-23,162,Nirvana,Smells Like Teen Spirit,1650496
2021-09-23,163,J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),1645561
2021-09-23,164,Drake,Laugh Now Cry Later (feat. Lil Durk),1639360
2021-09-23,165,"CORPSE, Night Lovell",HOT DEMON B!TCHES NEAR U ! ! !,1637228
2021-09-23,166,bbno$,edamame (feat. Rich Brian),1621050
2021-09-23,167,Morgan Wallen,Whiskey Glasses,1614489
2021-09-23,168,DaBaby,ROCKSTAR (feat. Roddy Ricch),1598089
2021-09-23,169,Cardi B,Up,1597702
2021-09-23,170,Grouplove,Tongue Tied,1595978
2021-09-23,171,PinkPantheress,Just for me,1592965
2021-09-23,172,Kanye West,Believe What I Say,1591541
2021-09-23,173,"Blxst, Tyga",Chosen (feat. Ty Dolla $ign),1586253
2021-09-23,174,The Weeknd,Save Your Tears,1582943
2021-09-23,175,Tame Impala,The Less I Know The Better,1571911
2021-09-23,176,Ryan Hurd,Chasing After You (with Maren Morris),1570270
2021-09-23,177,Sam Smith,Like I Can,1568047
2021-09-23,178,Drake,Fountains (with Tems),1551840
2021-09-23,179,"Drake, Yebba",Yebba’s Heartbreak,1551340
2021-09-23,180,Tate McRae,you broke me first,1551031
2021-09-23,181,Cardi B,WAP (feat. Megan Thee Stallion),1549017
2021-09-23,182,Playboi Carti,Sky,1549001
2021-09-23,183,Pop Smoke,What You Know Bout Love,1544726
2021-09-23,184,The Weeknd,The Hills,1541795
2021-09-23,185,Kacey Musgraves,justified,1541404
2021-09-23,186,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),1539571
2021-09-23,187,"Tiësto, KAROL G",Don't Be Shy,1537462
2021-09-23,188,The Kid LAROI,NOT SOBER (feat. Polo G & Stunna Gambino),1535452
2021-09-23,189,Smiley,Over The Top (feat. Drake),1535043
2021-09-23,190,J. Cole,MIDDLE CHILD,1534930
2021-09-23,191,Lil Mosey,Blueberry Faygo,1531235
2021-09-23,192,Jack Harlow,Tyler Herro,1530838
2021-09-23,193,Roddy Ricch,Late At Night,1528337
2021-09-23,194,Lewis Capaldi,Before You Go,1527873
2021-09-23,195,Kanye West,Heartless,1527012
2021-09-23,196,Offset,Ric Flair Drip (& Metro Boomin),1516992
2021-09-23,197,G-Eazy,Breakdown (feat. Demi Lovato),1508477
2021-09-23,198,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,1508163
2021-09-23,199,Lil Baby,Drip Too Hard (Lil Baby & Gunna),1506732
2021-09-23,200,LISA,LALISA,1505844
